name,time,Kd,Ki,Kp,value
co2_start_at_03,1695749085884806440,0,0,0.09,1029.1666666666667
co2_start_at_03,1695749106427349643,0,0,0.09,1046
co2_start_at_03,1695749126731105900,0,0,0.09,1056.3333333333333
co2_start_at_03,1695749147241903893,0,0,0.09,1065.6666666666667
co2_start_at_03,1695749167864674438,0,0,0.09,1066
co2_start_at_03,1695749188414902025,0,0,0.09,1080.3333333333333
co2_start_at_03,1695749208930609585,0,0,0.09,1046.3333333333333
co2_start_at_03,1695749229473316851,0,0,0.09,1054
co2_start_at_03,1695749249983198142,0,0,0.09,1042
co2_start_at_03,1695749270505028154,0,0,0.09,1029.6666666666667
co2_start_at_03,1695749291040751795,0,0,0.09,1017
co2_start_at_03,1695749311543022616,0,0,0.09,1006.1666666666666
co2_start_at_03,1695749332109828504,0,0,0.09,995.8333333333334
co2_start_at_03,1695749352637247352,0,0,0.09,986.6666666666666
co2_start_at_03,1695749373175683142,0,0,0.09,976.3333333333334
co2_start_at_03,1695749393728814682,0,0,0.09,970.1666666666666
co2_start_at_03,1695749414239779499,0,0,0.09,966.6666666666666
co2_start_at_03,1695749434775752558,0,0,0.09,964.8333333333334
co2_start_at_03,1695749455284985376,0,0,0.09,965.8333333333334
co2_start_at_03,1695749475676816383,0,0,0.09,970.6666666666666
co2_start_at_03,1695749496209968918,0,0,0.09,989
co2_start_at_03,1695749516773821927,0,0,0.09,1012.6666666666666
co2_start_at_03,1695749537294957322,0,0,0.09,1035.6666666666667
co2_start_at_03,1695749557805415502,0,0,0.09,1049.8333333333333
co2_start_at_03,1695749578318981906,0,0,0.09,1057
co2_start_at_03,1695749598822964916,0,0,0.09,1058.6666666666667
co2_start_at_03,1695749619357857439,0,0,0.09,1058
co2_start_at_03,1695749639874425073,0,0,0.09,1056.1666666666667
co2_start_at_03,1695749660374984245,0,0,0.09,1051.3333333333333
co2_start_at_03,1695749680838177938,0,0,0.09999999999999999,1039.8333333333333
co2_start_at_03,1695749701359813432,0,0,0.09999999999999999,1025
co2_start_at_03,1695749721858310052,0,0,0.09999999999999999,1011.8333333333334
co2_start_at_03,1695749742361201480,0,0,0.09999999999999999,1002
co2_start_at_03,1695749762878969362,0,0,0.09999999999999999,994
co2_start_at_03,1695749783481842486,0,0,0.09999999999999999,985.3333333333334
co2_start_at_03,1695749804017375132,0,0,0.09999999999999999,975.6666666666666
co2_start_at_03,1695749824591965688,0,0,0.09999999999999999,967.3333333333334
co2_start_at_03,1695749845124015443,0,0,0.09999999999999999,961.8333333333334
co2_start_at_03,1695749865655825335,0,0,0.09999999999999999,962
co2_start_at_03,1695749886228689919,0,0,0.09999999999999999,963.8333333333334
co2_start_at_03,1695749906774873462,0,0,0.09999999999999999,971.8333333333334
co2_start_at_03,1695749927318543150,0,0,0.09999999999999999,989
co2_start_at_03,1695749947906425287,0,0,0.09999999999999999,1013.8333333333334
co2_start_at_03,1695749968384143658,0,0,0.09999999999999999,1022.8333333333334
co2_start_at_03,1695749988859474020,0,0,0.09999999999999999,1074.6666666666667
co2_start_at_03,1695750009384131539,0,0,0.09999999999999999,1073.5
co2_start_at_03,1695750029946533667,0,0,0.09999999999999999,1075.1666666666667
co2_start_at_03,1695750050513243042,0,0,0.09999999999999999,1074.6666666666667
co2_start_at_03,1695750071015087662,0,0,0.09999999999999999,1071.6666666666667
co2_start_at_03,1695750091522686371,0,0,0.09999999999999999,1063.5
co2_start_at_03,1695750112017982709,0,0,0.09999999999999999,1049.1666666666667
co2_start_at_03,1695750132589394205,0,0,0.09999999999999999,1035.5
co2_start_at_03,1695750153119712295,0,0,0.09999999999999999,1021.1666666666666
co2_start_at_03,1695750173659656840,0,0,0.09999999999999999,1006.6666666666666
co2_start_at_03,1695750194175686330,0,0,0.09999999999999999,994.8333333333334
co2_start_at_03,1695750214751989484,0,0,0.09999999999999999,982.8333333333334
co2_start_at_03,1695750235288401150,0,0,0.09999999999999999,971
co2_start_at_03,1695750255871987917,0,0,0.09999999999999999,964
co2_start_at_03,1695750276412539637,0,0,0.09999999999999999,958.5
co2_start_at_03,1695750296944873048,0,0,0.09999999999999999,956.5
co2_start_at_03,1695750317507971591,0,0,0.09999999999999999,960
co2_start_at_03,1695750338041423828,0,0,0.09999999999999999,972.6666666666666
co2_start_at_03,1695750358585678079,0,0,0.09999999999999999,998.1666666666666
co2_start_at_03,1695750379174245763,0,0,0.09999999999999999,1028.8333333333333
co2_start_at_03,1695750399699277990,0,0,0.09999999999999999,1049.8333333333333
co2_start_at_03,1695750420232363223,0,0,0.09999999999999999,1062
co2_start_at_03,1695750440750314252,0,0,0.09999999999999999,1069
co2_start_at_03,1695750461226025032,0,0,0.09999999999999999,1070.8333333333333
co2_start_at_03,1695750481755298682,0,0,0.09999999999999999,1069.6666666666667
co2_start_at_03,1695750502267926439,0,0,0.09999999999999999,1066.6666666666667
co2_start_at_03,1695750522775125788,0,0,0.09999999999999999,1055.3333333333333
co2_start_at_03,1695750543315292968,0,0,0.09999999999999999,1036.3333333333333
co2_start_at_03,1695750563896370984,0,0,0.09999999999999999,1022.5
co2_start_at_03,1695750584419947730,0,0,0.10999999999999999,1009.1666666666666
co2_start_at_03,1695750604945299811,0,0,0.10999999999999999,996.6666666666666
co2_start_at_03,1695750625540860506,0,0,0.10999999999999999,985.3333333333334
co2_start_at_03,1695750646008667539,0,0,0.10999999999999999,976.5
co2_start_at_03,1695750666548764422,0,0,0.10999999999999999,966.5
co2_start_at_03,1695750687136082121,0,0,0.10999999999999999,960
co2_start_at_03,1695750707701898623,0,0,0.10999999999999999,957.3333333333334
co2_start_at_03,1695750728225574184,0,0,0.10999999999999999,962.6666666666666
co2_start_at_03,1695750748809532917,0,0,0.10999999999999999,981.6666666666666
co2_start_at_03,1695750769371084645,0,0,0.10999999999999999,1009.8333333333334
co2_start_at_03,1695750789901462169,0,0,0.10999999999999999,1034.1666666666667
co2_start_at_03,1695750810414997164,0,0,0.10999999999999999,1033.3333333333333
co2_start_at_03,1695750830996420642,0,0,0.10999999999999999,1077.8333333333333
co2_start_at_03,1695750851515193426,0,0,0.10999999999999999,1071
co2_start_at_03,1695750872034913700,0,0,0.10999999999999999,1056.8333333333333
co2_start_at_03,1695750892565196684,0,0,0.10999999999999999,1081.3333333333333
co2_start_at_03,1695750913084909787,0,0,0.10999999999999999,1059.3333333333333
co2_start_at_03,1695750933670519623,0,0,0.10999999999999999,1046.1666666666667
co2_start_at_03,1695750954146468204,0,0,0.10999999999999999,1033.6666666666667
co2_start_at_03,1695750974652001118,0,0,0.10999999999999999,1016.6666666666666
co2_start_at_03,1695750995197591545,0,0,0.10999999999999999,998.8333333333334
co2_start_at_03,1695751015711198133,0,0,0.10999999999999999,977
co2_start_at_03,1695751036257783118,0,0,0.10999999999999999,1001
